問題,記号,ファイル名,作品名,所蔵,クレジット表記
問1（古代）,ア,kodai_a_jomon.jpg,縄文土器（深鉢）,京都国立博物館,出典：ColBase（https://colbase.nich.go.jp/collection_items/kyohaku/26665）
問1（古代）,イ,kodai_i_yayoi.jpg,弥生土器,東京国立博物館,出典：ColBase（https://colbase.nich.go.jp/collection_items/tnm/179081）
問1（古代）,ウ,kodai_u_haniwa.jpg,埴輪（女子）,九州国立博物館,出典：ColBase（https://colbase.nich.go.jp/collection_items/kyuhaku/41818）
問1（古代）,エ,kodai_e_daibutsu.jpg,東大寺盧舎那仏像（奈良の大仏）,Wikimedia Commons,作者：Mafue、CC BY-SA 3.0（https://commons.wikimedia.org/wiki/File:Daibutsu_of_Todaiji_4.jpg）
問3（中世）,ア,chusei_a_kamakuradaibutsu.jpg,鎌倉大仏（高徳院）,東京国立博物館,出典：ColBase（https://colbase.nich.go.jp/collection_items/tnm/211137）
問3（中世）,イ,chusei_i_moko.jpg,蒙古襲来絵詞,皇居三の丸尚蔵館,出典：ColBase（https://colbase.nich.go.jp/collection_items/shozokan/4）
問3（中世）,ウ,chusei_u_godaigo.jpg,後醍醐天皇御像,清浄光寺（遊行寺）,パブリックドメイン／Wikimedia Commons（https://commons.wikimedia.org/wiki/File:Go-Daigo.jpg）
問3（中世）,エ,chusei_e_ginkaku.jpg,銀閣（慈照寺）,慈照寺,作者：Marie-Sophie Mejan、CC BY 4.0（https://commons.wikimedia.org/wiki/File:Ginkaku-ji_(Silver_pavilion).jpg）
問5（近世）,ア,kinsei_a_himeji.jpg,姫路城,姫路市,作者：Niko Kitsakis、CC BY-SA 4.0（https://commons.wikimedia.org/wiki/File:Himeji_castle_in_may_2015.jpg）
問5（近世）,イ,kinsei_i_osaka.jpg,大阪城（西の丸庭園より）,大阪市,パブリックドメイン（作者：Midori）／Wikimedia Commons（https://commons.wikimedia.org/wiki/File:Osaka_Castle_Nishinomaru_Garden_April_2005.JPG）
問5（近世）,ウ,kinsei_u_sekigahara.jpg,関ケ原合戦屏風絵（模本）,東京国立博物館,出典：ColBase（https://colbase.nich.go.jp/collection_items/tnm/16133）
問5（近世）,エ,kinsei_e_dejima.jpg,長崎出島（明治時代の写真）,東京国立博物館,出典：ColBase（https://colbase.nich.go.jp/collection_items/tnm/188447）
問1（明治・参考画像／並べ替え判定には未使用）,ア,meiji_a_haihan.jpg,廃藩置県（聖徳記念絵画館壁画）,聖徳記念絵画館,作者：小堀鞆音、パブリックドメイン／Wikimedia Commons（https://commons.wikimedia.org/wiki/File:Magokoro10-1-4.jpg）
問1（明治・参考画像／並べ替え判定には未使用）,イ,meiji_i_chiken.jpg,地券（秋田県、明治12年）,個人蔵,パブリックドメイン／Wikimedia Commons（https://commons.wikimedia.org/wiki/File:Chiken_akita_face.jpg）
問1（明治・参考画像／並べ替え判定には未使用）,エ,meiji_e_kenpo.jpg,憲法発布略図（楊洲周延、明治22年）,個人蔵,作者：楊洲周延、パブリックドメイン／Wikimedia Commons（https://commons.wikimedia.org/wiki/File:Kenpohapu-chikanobu.jpg）
問1（明治）,ウ,（画像なし）,徴兵令,-,権利関係で使用できる資料写真が見つからなかったため未掲載
